year,",day",_of_ye,"ar,secDay,la","t,lon,headi","ng,speed",",Water_t","emp,salini","ty,pressur","e_atm,xCO2_w,fCO2_w,x","CO2_a,fCO2_a,",air_temp,,
yyyy,",ddd",",sec,d","egrees,degre","es,degrees,","m/s,degr","eesC,PSU",",hPa,umol/","mol,uatm,u","mol/mol,uatm,degreesC",,,,
2004,168,38878,43.0765 -70,.7497 13.0,0.0 -999,9.000 -9,999.000 10,17.3 -9999,.000000 -9999.000000,-9999,-9999,20,
2004,168,38895,43.0765 -70,.7496 11.0,0.0 -999,9.000 -9,999.000 10,17.3 -9999,.000000 -9999.000000,-9999,-9999,20,
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
2004,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19998,-9999,-9999,-9999,-9999
