date,year,month,day,depth,latitude,longitude,err,anom,sst
1/1/1982,1982,1,1,0,42.875,289.375,0.29,0.93,7.0099998
1/1/1982,1982,1,1,0,42.875,289.625,0.24,1.12,7.18
1/1/1982,1982,1,1,0,43.125,289.375,0.32999998,0.72999996,6.74
1/1/1982,1982,1,1,0,43.125,289.625,0.28,0.78,6.79
1/1/1982,1982,1,1,0,43.375,289.625,0.34,0.48999998,6.45
1/2/1982,1982,1,2,0,42.875,289.375,0.19999999,0.87,6.8799996
1/2/1982,1982,1,2,0,42.875,289.625,0.17,0.96999997,6.96
1/2/1982,1982,1,2,0,43.125,289.375,0.25,0.71999997,6.67
1/2/1982,1982,1,2,0,43.125,289.625,0.19,0.69,6.6299996
1/2/1982,1982,1,2,0,43.375,289.625,0.26,0.41,6.31
1/3/1982,1982,1,3,0,42.875,289.375,0.26,0.74,6.68
1/3/1982,1982,1,3,0,42.875,289.625,0.19999999,0.84,6.7599998
1/3/1982,1982,1,3,0,43.125,289.375,0.29,0.59999996,6.47
1/3/1982,1982,1,3,0,43.125,289.625,0.22999999,0.59999996,6.47
1/3/1982,1982,1,3,0,43.375,289.625,0.31,0.44,6.2599998
1/4/1982,1982,1,4,0,42.875,289.375,0.39,0.65,6.52
1/4/1982,1982,1,4,0,42.875,289.625,0.32,0.78999996,6.6299996
1/4/1982,1982,1,4,0,43.125,289.375,0.41,0.58,6.39
1/4/1982,1982,1,4,0,43.125,289.625,0.35,0.62,6.42
1/4/1982,1982,1,4,0,43.375,289.625,0.41,0.52,6.2799997
1/5/1982,1982,1,5,0,42.875,289.375,0.53,0.78,6.58
1/5/1982,1982,1,5,0,42.875,289.625,0.53,0.9,6.68
1/5/1982,1982,1,5,0,43.125,289.375,0.57,0.7,6.44
1/5/1982,1982,1,5,0,43.125,289.625,0.56,0.72999996,6.47
1/5/1982,1982,1,5,0,43.375,289.625,0.57,0.56,6.25
1/6/1982,1982,1,6,0,42.875,289.375,0.55,0.85999995,6.5899997
1/6/1982,1982,1,6,0,42.875,289.625,0.55,0.97999996,6.69
1/6/1982,1982,1,6,0,43.125,289.375,0.57,0.84,6.5099998
1/6/1982,1982,1,6,0,43.125,289.625,0.56,0.88,6.5499997
1/6/1982,1982,1,6,0,43.375,289.625,0.56,0.79999995,6.43
1/7/1982,1982,1,7,0,42.875,289.375,0.29,0.39,6.0499997
1/7/1982,1982,1,7,0,42.875,289.625,0.25,0.45,6.0899997
1/7/1982,1982,1,7,0,43.125,289.375,0.32999998,0.32,5.92
1/7/1982,1982,1,7,0,43.125,289.625,0.28,0.24,5.8399997
1/7/1982,1982,1,7,0,43.375,289.625,0.32999998,0.35,5.91
1/8/1982,1982,1,8,0,42.875,289.375,0.19999999,0.22999999,5.8199997
1/8/1982,1982,1,8,0,42.875,289.625,0.17,0.42,5.99
1/8/1982,1982,1,8,0,43.125,289.375,0.25,-0.02,5.52
1/8/1982,1982,1,8,0,43.125,289.625,0.19,0.049999997,5.58
1/8/1982,1982,1,8,0,43.375,289.625,0.26,-0.03,5.47
1/9/1982,1982,1,9,0,42.875,289.375,0.29,0.28,5.7999997
1/9/1982,1982,1,9,0,42.875,289.625,0.25,0.48,5.98
1/9/1982,1982,1,9,0,43.125,289.375,0.32999998,0,5.47
1/9/1982,1982,1,9,0,43.125,289.625,0.28,0.089999996,5.56
1/9/1982,1982,1,9,0,43.375,289.625,0.34,-0.049999997,5.38
1/10/1982,1982,1,10,0,42.875,289.375,0.53,0.24,5.69
1/10/1982,1982,1,10,0,42.875,289.625,0.53,0.41,5.8399997
1/10/1982,1982,1,10,0,43.125,289.375,0.56,0.02,5.42
1/10/1982,1982,1,10,0,43.125,289.625,0.55,0.08,5.48
1/10/1982,1982,1,10,0,43.375,289.625,0.57,0,5.3599997
1/11/1982,1982,1,11,0,42.875,289.375,0.29,-0.089999996,5.29
1/11/1982,1982,1,11,0,42.875,289.625,0.24,0.049999997,5.41
1/11/1982,1982,1,11,0,43.125,289.375,0.32999998,-0.28,5.0499997
1/11/1982,1982,1,11,0,43.125,289.625,0.28,-0.21,5.12
1/11/1982,1982,1,11,0,43.375,289.625,0.34,-0.25,5.0499997
1/12/1982,1982,1,12,0,42.875,289.375,0.19999999,-0.11,5.2
1/12/1982,1982,1,12,0,42.875,289.625,0.16,0.08,5.37
1/12/1982,1982,1,12,0,43.125,289.375,0.25,-0.29,4.97
1/12/1982,1982,1,12,0,43.125,289.625,0.19,-0.19,5.0699997
1/12/1982,1982,1,12,0,43.375,289.625,0.26,-0.35,4.88
1/13/1982,1982,1,13,0,42.875,289.375,0.29,-0.03,5.21
1/13/1982,1982,1,13,0,42.875,289.625,0.24,0.14999999,5.38
1/13/1982,1982,1,13,0,43.125,289.375,0.32999998,-0.21,4.99
1/13/1982,1982,1,13,0,43.125,289.625,0.28,-0.12,5.08
1/13/1982,1982,1,13,0,43.375,289.625,0.34,-0.29,4.88
1/14/1982,1982,1,14,0,42.875,289.375,0.47,0.16,5.33
1/14/1982,1982,1,14,0,42.875,289.625,0.47,0.32999998,5.49
1/14/1982,1982,1,14,0,43.125,289.375,0.53,-0.08,5.0499997
1/14/1982,1982,1,14,0,43.125,289.625,0.53,0,5.13
1/14/1982,1982,1,14,0,43.375,289.625,0.56,-0.17,4.93
1/15/1982,1982,1,15,0,42.875,289.375,0.29,0.51,5.6099997
1/15/1982,1982,1,15,0,42.875,289.625,0.25,0.7,5.79
1/15/1982,1982,1,15,0,43.125,289.375,0.35,0.26,5.33
1/15/1982,1982,1,15,0,43.125,289.625,0.29,0.37,5.43
1/15/1982,1982,1,15,0,43.375,289.625,0.35999998,0.14,5.18
1/16/1982,1982,1,16,0,42.875,289.375,0.21,0.68,5.72
1/16/1982,1982,1,16,0,42.875,289.625,0.17,0.84,5.8599997
1/16/1982,1982,1,16,0,43.125,289.375,0.26999998,0.35999998,5.35
1/16/1982,1982,1,16,0,43.125,289.625,0.21,0.41,5.41
1/16/1982,1982,1,16,0,43.375,289.625,0.26999998,0.099999994,5.0699997
1/17/1982,1982,1,17,0,42.875,289.375,0.29,0.51,5.5
1/17/1982,1982,1,17,0,42.875,289.625,0.22999999,0.58,5.5499997
1/17/1982,1982,1,17,0,43.125,289.375,0.32,0.19,5.14
1/17/1982,1982,1,17,0,43.125,289.625,0.25,0.17,5.12
1/17/1982,1982,1,17,0,43.375,289.625,0.29,-0.11,4.8199997
1/18/1982,1982,1,18,0,42.875,289.375,0.22,0.52,5.46
1/18/1982,1982,1,18,0,42.875,289.625,0.17999999,0.48,5.41
1/18/1982,1982,1,18,0,43.125,289.375,0.29,0.26,5.17
1/18/1982,1982,1,18,0,43.125,289.625,0.25,0.12,5.0299997
1/18/1982,1982,1,18,0,43.375,289.625,0.34,-0.17999999,4.7
1/19/1982,1982,1,19,0,42.875,289.375,0.21,0.29,5.18
1/19/1982,1982,1,19,0,42.875,289.625,0.17,0.26999998,5.14
1/19/1982,1982,1,19,0,43.125,289.375,0.26,0.08,4.94
