Year,Transect,Level,Replicate,Data_taken,Note_header,Note_value,Source
1982,2,6,1,yes,Z1-Quality,mediocre,percent_cover
1987,2,2,1,yes,Z1-Quality,poor,percent_cover
1987,2,5,1,yes,Z1-Quality,poor,percent_cover
1987,2,9,1,yes,Z1-Quality,poor,percent_cover
1992,2,4,1,yes,Z1-Quality,poor,percent_cover
1992,2,5,1,yes,Z1-Quality,poor,percent_cover
1992,2,5,3,yes,Z1-Quality,poor,percent_cover
1992,2,6,1,yes,Z1-Quality,poor,percent_cover
1992,2,6,2,yes,Z1-Quality,poor,percent_cover
1993,2,8,2,yes,Z1-Quality,poor (bad holdfast data),percent_cover
1993,2,11,3,yes,Z1-Quality,poor (bad holdfast data),percent_cover
1995,2,10,1,yes,Z1-Quality,poor,percent_cover
1995,2,11,1,yes,Z1-Quality,poor,percent_cover
1998,2,0,1,yes,Z1-Quality,mediocre--students often recorded cover value for a species and said the attachment site was rock  yet did not record any basal cover for that species…they also made the reverse mistake  of recording basal cover for a species like Mastocarpus which would also have canopy cover  yet they wouldn't record the canopy cover...,percent_cover
1998,2,7,1,yes,Z1-Quality,poor,percent_cover
1998,2,7,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,2,8,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,2,9,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,7,1,yes,Z1-Quality,mediocre--students often recorded cover value for a species and said the attachment site was rock  yet did not record any basal cover for that species…they also made the reverse mistake  of recording basal cover for a species like Mastocarpus which would also have canopy cover  yet they wouldn't record the canopy cover...,percent_cover
2004,2,7,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,7,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,8,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,8,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,8,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,2,9,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1982,5,4,1,yes,Z1-Quality,poor,percent_cover
1982,5,6,1,yes,Z1-Quality,poor,percent_cover
1982,5,7,1,yes,Z1-Quality,poor,percent_cover
1982,5,10,1,yes,Z1-Quality,poor,percent_cover
1982,5,13,1,yes,Z1-Quality,poor,percent_cover
1987,5,6,1,yes,Z1-Quality,poor,percent_cover
1989,5,7,1,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1989,5,8,1,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1989,5,9,1,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1989,5,9,2,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1989,5,9,3,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1989,5,10,1,yes,Z1-Quality,poor-did not follow own rules about what to enter as black zone vs Verrucaria,percent_cover
1992,5,12,1,yes,Z1-Quality,poor,percent_cover
1992,5,12,2,yes,Z1-Quality,poor,percent_cover
1992,5,12,3,yes,Z1-Quality,poor,percent_cover
1992,5,13,1,yes,Z1-Quality,poor,percent_cover
1994,5,5,1,yes,Z1-Quality,poor--guessing about identity of lichens (Arthopyrenia not supposed no be included in black zone,percent_cover
1994,5,6,3,yes,Z1-Quality,poor--guessing about identity of lichens (Arthopyrenia not supposed no be included in black zone,percent_cover
1995,5,11,3,yes,Z1-Quality,poor,percent_cover
1995,5,13,2,yes,Z1-Quality,poor,percent_cover
1997,5,8,1,yes,Z1-Quality,poor (for Semibalanus info),percent_cover
1998,5,7,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,8,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,9,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,9,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,9,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,10,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,10,2,yes,Z1-Quality,poor--unclear whether  student was including dead barnacle in data,percent_cover
1998,5,11,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,5,11,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1999,5,9,1,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
2001,5,6,2,yes,Z1-Quality,poor--unclear whether  student was including dead barnacle in data,percent_cover
2004,5,7,2,yes,Z1-Quality,poor,percent_cover
2004,5,9,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,5,11,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,5,12,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,5,14,2,yes,Z1-Quality,mediocre,percent_cover
2004,5,14,3,yes,Z1-Quality,poor,percent_cover
2005,5,12,3,yes,Z1-Quality,mediocre,percent_cover
1986,7,3,1,yes,Z1-Quality,poor,percent_cover
1986,7,4,1,yes,Z1-Quality,poor,percent_cover
1986,7,5,1,yes,Z1-Quality,poor,percent_cover
1986,7,7,1,yes,Z1-Quality,poor,percent_cover
1986,7,9,1,yes,Z1-Quality,poor,percent_cover
1986,7,11,1,yes,Z1-Quality,poor,percent_cover
1986,7,12,1,yes,Z1-Quality,poor,percent_cover
1986,7,13,1,yes,Z1-Quality,poor,percent_cover
1996,7,10,2,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1996,7,10,3,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1996,7,11,1,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1996,7,12,1,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1996,7,13,1,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1996,7,13,2,yes,Z1-Quality,poor---current system not set up to quantify bryozoans as primary cover,percent_cover
1998,7,11,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1998,7,13,1,yes,Z1-Quality,poor--were students recording algae wh holdfasts were outside of quadrat?,percent_cover
1998,7,13,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2006,7,10,2,yes,Z1-Quality,poor,percent_cover
1986,15,1,1,yes,Z1-Quality,suspect,percent_cover
1988,15,6,2,yes,Z1-Quality,poor,percent_cover
