name,AphiaID,valid_name,valid_authority,kingdom,phylum,class,order,family,genus,ID_confidence,comments
Tectura testudinalis,140276,Testudinalia testudinalis,"(O. F. Müller, 1776)",Animalia,Mollusca,Gastropoda,NA,Lottiidae,Tectura,high,NA
Amphipoda,1135,Amphipoda,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,high,NA
Anomia simplex,156737,Anomia simplex,"d'Orbigny, 1853",Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,medium,NA
Anurida maritima,118139,Anurida maritima,"(Guérin-Méneville, 1836)",Animalia,Arthropoda,Collembola,NA,Neanuridae,Anurida,high,NA
Asterias forbesi,158489,Asterias forbesi,"(Desor, 1848)",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,high,NA
Asterias rubens,123776,Asterias rubens,"Linnaeus, 1758",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,high,NA
Astyris lunata,160102,Astyris lunata,"(Say, 1826)",Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Astyris,high,NA
Cancer borealis,158056,Cancer borealis,"Stimpson, 1859",Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,high,NA
Cancer irroratus,158057,Cancer irroratus,"Say, 1817",Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,high,NA
Cancer,106876,Cancer,"Linnaeus, 1758",Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,high,NA
Cerianthus,100782,Cerianthus,"Delle Chiaje, 1841",Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Cerianthus,low,NA
Tonicella rubra,140152,Boreochiton ruber,"(Linnaeus, 1767)",Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,high,NA
Colus stimpsoni,160215,Colus stimpsoni,"(Mörch, 1868)",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,high,Likely a misidentification   Colus is a sandy bottom subtidal species (see SML checklist)
Coryphella,138018,Coryphella,"J. E. Gray, 1850",Animalia,Mollusca,Gastropoda,Nudibranchia,Coryphellidae,Coryphella,medium,NA
Crepidula fornicata,138963,Crepidula fornicata,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,high,NA
Culicoides,151024,Culicoides,"Latreille, 1809",Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,low,NA
Dendrodoa,103531,Dendrodoa,"MacLeay, 1824",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Dendrodoa,medium,NA
Dendronotus,137885,Dendronotus,"Alder & Hancock, 1845",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,medium,Not quantified after 2004 at least.
Diadumene lineata,395099,Diadumene lineata,"(Verrill, 1869)",Animalia,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,high,NA
platyhelminthes,793,Platyhelminthes,"Minot, 1876",Animalia,Platyhelminthes,NA,NA,NA,NA,high,Not quantified after 2004 at least.
Flustrellidra hispida,111621,Flustrellidra hispida,"(O. Fabricius, 1780)",Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,high,NA
Foviella,142515,Foviella,"Bock, 1925",Animalia,Platyhelminthes,Rhabditophora,Tricladida,Uteriporidae,Foviella,low,Not quantified after 2004 at least.
Hemigrapsus sanguineus,158417,Hemigrapsus sanguineus,"(De Haan, 1835)",Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,high,NA
Halacarus,114779,Halacarus,"Gosse, 1855",Animalia,Arthropoda,Arachnida,Trombidiformes,Halacaridae,Halacarus,high,Not quantified after 2004 at least.
Henricia sanguinolenta,123974,Henricia sanguinolenta,"(O.F. Müller, 1776)",Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,high,NA
Hiatella arctica,140103,Hiatella arctica,"(Linnaeus, 1767)",Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,high,NA
Idotea balthica,119039,Idotea balthica,"(Pallas, 1772)",Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,high,NA
Idotea baltica,325483,Idotea balthica,"(Pallas, 1772)",Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,high,NA
Littorina littorea,140262,Littorina littorea,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,high,NA
Littorina obtusata,140263,Littorina obtusata,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,high,Not consistently quantified
Littorina saxatilis,140264,Littorina saxatilis,"(Olivi, 1792)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,high,NA
Lacuna vincta,140170,Lacuna vincta,"(Montagu, 1803)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,high,NA
Lepidonotus,129496,Lepidonotus,"Leach, 1816",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,low,not taught as least since 2004
Lycastopsis,324858,Namanereis,"Chamberlin, 1919",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Lycastopsis,low,not taught as least since 2004
Mytilus edulis,140480,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,high,NA
Metridium senile,100982,Metridium senile,"(Linnaeus, 1761)",Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,high,NA
Micrura affinis,155903,Micrura affinis,"(Stimpson, 1854)",Animalia,Nemertea,Anopla,NA,Lineidae,Micrura,low,Not quantified after 2004 at least.
Modiolus modiolus,140467,Modiolus modiolus,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,high,NA
Mya arenaria,140430,Mya arenaria,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,high,This is a soft sediment clam
Notoplana,142231,Notoplana,"Laidlaw, 1903",Animalia,Platyhelminthes,Rhabditophora,Polycladida,Notoplanidae,Notoplana,low,Not quantified after 2004 at least.
Nucella lapillus,140403,Nucella lapillus,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,high,NA
Nudibranchia,1762,Nudibranchia,"Cuvier, 1817",Animalia,Mollusca,Gastropoda,Nudibranchia,NA,NA,high,NA
Onchidoris,138288,Onchidoris,"Blainville, 1816",Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,medium,NA
Ophiopholis,123622,Ophiopholis,"Müller & Troschel, 1842",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,high,NA
Ostrea edulis,140658,Ostrea edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,high,NA
Pagurus acadianus,158400,Pagurus acadianus,"Benedict, 1901",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,high,NA
Polychaeta,883,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,NA,NA,NA,high,Not quantified after 2004 at least.
Praunus,119898,Praunus,"Leach, 1814",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Praunus,high,Not quantified after 2004 at least.
Strongylocentrotus droebachiensis,124321,Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)",Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,high,NA
Semibalanus balanoides,106210,Semibalanus balanoides,"(Linnaeus, 1767)",Animalia,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Semibalanus,high,NA
Skeneopsis planorbis,141539,Skeneopsis planorbis,"(O. Fabricius, 1780)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Skeneopsidae,Skeneopsis,medium,Not quantified after 2004 at least.
