Transect,Lat_deg,Lat_min,Long_deg,Long_min,CW_from_north,Rise_over_run,Fetch_km,Position
1,42,59.272,70,36.97,250,,,sheltered
2,42,59.283,70,37.04,340,,,sheltered
3,42,59.306,70,36.965,290,,,sheltered
4,42,59.329,70,36.985,254,0.29,,sheltered
5,42,59.366,70,37.029,242,0.16,,sheltered
6,42,59.395,70,37.034,282,0.08,,sheltered
7,42,59.476,70,37.016,305,0.12,9.85,sheltered
8,42,59.515,70,36.969,319,,,sheltered
9,42,59.556,70,36.931,343,,,sheltered
10,42,59.541,70,36.842,65,,,exposed
11,42,59.518,70,36.87,62,,,exposed
12,42,59.514,70,36.835,23,,,exposed
13,42,59.54,70,36.775,62,,,exposed
14,42,59.492,70,36.726,67,,,exposed
15,42,59.467,70,36.711,125,0.24,6241.24,exposed
16,42,59.372,70,36.787,71,,,exposed
17,42,59.347,70,36.775,71,,,exposed
18,42,59.35,70,36.687,26,0.31,,exposed
19,42,59.351,70,36.665,54,0.3,,exposed
20,42,59.335,70,36.621,70,0.13,370.149,exposed
21,42,59.293,70,36.604,76,,,exposed
22,42,59.271,70,36.568,89,0.30,,exposed
23,42,59.231,70,36.591,180,,,exposed
24,42,59.165,70,36.668,159,,,exposed
25,42,59.112,70,36.762,188,,,exposed
26,42,59.081,70,37.031,230,0.14,0.926,sheltered
27,42,59.124,70,37.11,220,,,sheltered
28,42,59.171,70,37.099,317,,,sheltered
