NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,SP_CODE,PERCENT_COVER,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ANSP,3.75,Invertebrate,Molluscs,Bivalves,NA,jingle shell,Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,Anomia
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,APPA,1.25,Invertebrate,Chordates,Tunicates,NA,NA,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium pallidum
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ATM,3.75,Invertebrate,Arthropods,Crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,Amphipod tube mat
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,B,37.5,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BA,1.25,Invertebrate,Arthropods,Crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,Barnacle
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BL,36.25,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BLD,1.25,Algae,Phaeophyta,Brown Algae,juvenile <3cm kelps,NA,NA,NA,NA,NA,NA,NA,UNID Juv Laminariales
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BM,16.25,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BOHA,1.25,Algae,Rhodophyta,Erect Red Algae,NA,hooked weed,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,Bonnemaisonia hamifera
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,BS,3.75,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CHCR,10,Algae,Rhodophyta,Erect Red Algae,NA,Irish moss,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CLSP,1.25,Invertebrate,Proifera,Sponges,NA,NA,Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CO,3.75,Algae,Rhodophyta,Erect Red Algae,NA,coral weed,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,DEAC,1.25,Algae,Phaeophyta,Brown Algae,NA,Sour or Stink Weed,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia aculeata
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,DEVI,6.25,Algae,Phaeophyta,Brown Algae,NA,Sour or Stink Weed,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia viridis
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,DIVE,2.5,Invertebrate,Chordates,Tunicates,NA,tunicate,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum vexillum
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,EC,5,Algae,Rhodophyta,Red Algal Crusts,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting coralline
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,HJ,32.5,Algae,Rhodophyta,Erect Red Algae,NA,japan red algae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,LIGL,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,NA,Plantae,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Lithothamnion,Lithothamnion
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,MAST,11.25,Algae,Rhodophyta,Erect Red Algae,NA,false irish moss,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,Mastocarpus stellatus
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,NA,sea oak,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys rubens
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,POLS,6.25,Algae,Rhodophyta,Erect Red Algae,NA,lobster horns,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,PORS,1.25,Algae,Rhodophyta,Erect Red Algae,NA,NA,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,RAT,11.25,Algae,Rhodophyta,Erect Red Algae,NA,NA,NA,NA,NA,NA,NA,NA,Red Algal Turf
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,S,1.25,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,SH,5,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,SL,80,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,SLJ,3.75,Algae,Phaeophyta,Brown Algae,juvenile <10cm,NA,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,NA,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Tricellaria,Tricellaria inopinata
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,UEC,3.75,Algae,Rhodophyta,Red Algal Crusts,NA,NA,NA,NA,NA,NA,NA,NA,Unidentified Erect Coralline
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,URB,1.25,Algae,Rhodophyta,Erect Red Algae,NA,NA,NA,NA,NA,NA,NA,NA,Unidentified Red Blade
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,UV,1.25,Algae,Chlorophyta,Green Algae,NA,Sea lettuce,NA,NA,NA,NA,NA,NA,Blady Ulvoid
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,AGCL,16.25,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,ANSP,1.25,Invertebrate,Molluscs,Bivalves,NA,jingle shell,Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,Anomia
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,ATM,2.5,Invertebrate,Arthropods,Crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,Amphipod tube mat
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,B,61.25,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,BA,1.25,Invertebrate,Arthropods,Crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,Barnacle
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,BL,17.5,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,BM,6.25,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,BOHA,1.25,Algae,Rhodophyta,Erect Red Algae,NA,hooked weed,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,Bonnemaisonia hamifera
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,BS,3.75,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,C,3.75,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,CHCR,6.25,Algae,Rhodophyta,Erect Red Algae,NA,Irish moss,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,CO,8.75,Algae,Rhodophyta,Erect Red Algae,NA,coral weed,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis
