NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,SP_CODE,QUAD,SIDE,FISH.SIZE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,NO_FISH,NA,NA,YOY,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,NO_FISH,NA,NA,0-10,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,TAAD,NA,NA,0-10,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,NO_FISH,NA,NA,10-50,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,POVI,NA,NA,10-50,86,80,Fish,Chordates,Fish,NA,Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,POVI,NA,NA,10-50,38,80,Fish,Chordates,Fish,NA,Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,POVI,NA,NA,10-50,24,80,Fish,Chordates,Fish,NA,Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,NO_FISH,NA,NA,50-100,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,NO_FISH,NA,NA,>100,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,TAAD,NA,NA,YOY,1,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,NO_FISH,NA,NA,YOY,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Sandpiper Beach,TAAD,NA,NA,0-10,3,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,TAAD,NA,NA,0-10,86,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,TAAD,NA,NA,0-10,8,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,NO_FISH,NA,NA,0-10,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Sandpiper Beach,POVI,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,TAAD,NA,NA,10-50,6,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,TAAD,NA,NA,10-50,1,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,NO_FISH,NA,NA,10-50,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,NO_FISH,NA,NA,50-100,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,NO_FISH,NA,NA,>100,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2014,7,19,SW Appledore,South Pepperrell,TAAD,NA,NA,YOY,0,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,19,SW Appledore,North Pepperrell,TAAD,NA,NA,0-10,10,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,17,SW Appledore,North Smith's Cove,TAAD,NA,NA,0-10,5,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2014,7,19,SW Appledore,North Pepperrell,TAAD,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
