NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,SP_CODE,QUAD,SIDE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NOTES
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ASRU,0-20,I,0,20,Invertebrate,Echinoderms,Sea Stars,NA,Common Star,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ASRU,20-0,O,1,20,Invertebrate,Echinoderms,Sea Stars,NA,Common Star,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ASRU,20-40,I,0,20,Invertebrate,Echinoderms,Sea Stars,NA,Common Star,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,ASRU,40-20,O,0,20,Invertebrate,Echinoderms,Sea Stars,NA,Common Star,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,NA
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CABO,0-20,I,3,20,Invertebrate,Arthropods,Crustaceans,NA,Jonah Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CABO,20-0,O,1,20,Invertebrate,Arthropods,Crustaceans,NA,Jonah Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CABO,20-40,I,2,20,Invertebrate,Arthropods,Crustaceans,NA,Jonah Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CABO,40-20,O,4,20,Invertebrate,Arthropods,Crustaceans,NA,Jonah Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CAIR,0-20,I,1,20,Invertebrate,Arthropods,Crustaceans,NA,Atlantic Rock Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CAIR,20-0,O,0,20,Invertebrate,Arthropods,Crustaceans,NA,Atlantic Rock Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CAIR,20-40,I,0,20,Invertebrate,Arthropods,Crustaceans,NA,Atlantic Rock Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,"NA,NA"
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Broad Cove,CAIR,40-20,O,1,20,Invertebrate,Arthropods,Crustaceans,NA,Atlantic Rock Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,"NA,NA"
