SITE,TRANSECT,YEAR,SP_CODE,mean_wet_weight,median_dry_weight,median_wet_weight,mean_dry_weight,NETWORK,PI,QUAD,SIDE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NOTES,geometry,transect_mean_wet_weight,transect_median_dry_weight,transect_median_wet_weight,transect_mean_dry_weight
SW Appledore,North Pepperrell,2014,AGCL,13.4054618990409,NA,13.4054618990409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-70.619525006, 42.986057997)",NA,NA,NA,NA
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,0,O,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",76.71597941323931,1.9136310556373541,15.210132221249761,1.9136310556373541
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,16,O,3,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",115.07396911985896,2.8704465834560313,22.81519833187464,2.8704465834560313
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",0,0,0,0
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,32,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",0,0,0,0
SW Appledore,North Pepperrell,2014,SL,38.357989706619655,0.9568155278186771,7.605066110624881,0.9568155278186771,KEEN ONE,Byrnes,8,I,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619525006, 42.986057997)",76.71597941323931,1.9136310556373541,15.210132221249761,1.9136310556373541
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",0,NA,0,NA
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,16,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",30.145667184363912,NA,36.2723969999392,NA
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",0,NA,0,NA
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",0,NA,0,NA
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,40,I,1,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",30.145667184363912,NA,36.2723969999392,NA
SW Appledore,North Pepperrell,2015,AGCL,30.145667184363912,NA,36.2723969999392,NA,KEEN ONE,Byrnes,8,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.6199330370873, 42.9859418235719)",0,NA,0,NA
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,0,O,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",48.26247294991424,3.0044518578942903,26.43696961686264,3.0044518578942903
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,16,O,7,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",168.91865532469984,10.515581502630017,92.52939365901923,10.515581502630017
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,24,I,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",48.26247294991424,3.0044518578942903,26.43696961686264,3.0044518578942903
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",0,0,0,0
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,40,I,6,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",144.78741884974272,9.01335557368287,79.31090885058792,9.01335557368287
SW Appledore,North Pepperrell,2015,SL,24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451,KEEN ONE,Byrnes,8,I,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199330370873, 42.9859418235719)",24.13123647495712,1.5022259289471451,13.21848480843132,1.5022259289471451
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",0,NA,0,NA
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,16,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",0,NA,0,NA
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",0,NA,0,NA
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,32,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",16.86865042645413,NA,19.6675861529132,NA
